"CERCIMIRA - Cooperativa para a Educação e Reabilitação de CidadãosInadaptados de Mira, CRL","Cabeças Verdes, freguesia de Seixo - Mira",Mira,Coimbra,Cooperativa,1999,500797129
"CERCIPENELA - Cooperativa para a Educação e Reabilitação de CriançasInadaptadas de Penela, CRL",Freguesia de Santa Eufémia,Penela,Coimbra,Cooperativa,2000,501460756
"CERCIESTREMOZ - Cooperativa para a Educação e Reabilitação deCrianças Inadaptadas, CRL",Estremoz,Estremoz,Évora,Cooperativa,2004,500436568
"NOVO SOL - Coopersativa de Solidariedade Social, CRL","Rua A. Simões Paquete, no. 6 (Malagueira)",Évora,Évora,Cooperativa,2001,504819569
"CERCIDIANA - Cooperativa para a Educação, Reabilitação e Inserção deCidadãos Inadaptados Évora, CRL",Quinta do Feijão ao Espinheiro,Évora,Évora,Cooperativa,2003,500697884
"Casas de Santana e S. Joaquim, CRL","Rua Cândido dos Reis, n.o 62 a 66",Évora,Évora,Cooperativa,2018,514553340
"CERCIMOR - Cooperativa para a Educação, Reabilitação, Capacitação eInclusão de Montemor-o-Novo,CRL",Crespa da Figueira - Nossa Senhora da Vila,"Montemor-o-Novo",Évora,Cooperativa,2003,500594163
"Consigo Cooperativa de Ensino e Solidariedade Social, CRL","Edfo.Copenhaga, Letra A -R.1Pq.Ind.Vendas Novas",Vendas Novas,Évora,Cooperativa,2006,507515102
"NT (Social) - Cooperativa de Solidariedade de Loulé, CRL","Expansão Nordeste, Lote 91- r/c. Dto.",Loulé,Faro,Cooperativa,2001,504708066
"Colégio Origami, CRL","R S. Tomé e Princípe, Ed S.Tomé, no 1",Loulé,Faro,Cooperativa,2009,508866421
"CRACEP - Cooperativa de Reeducação e Apoio à Criança Excepcional dePortimão, CRL","Ava. D. Afonso Henriques, Apartado 527",Portimão,Faro,Cooperativa,1998,501566767
"CERCIG - Cooperativa de Educação e Reabilitação de CidadãosInadaptados - Guarda, CRL",Parque da Saúde da Guarda,Guarda,Guarda,Cooperativa,2001,500697930
"Centro de Educação Especial Raínha D. Leonor, CRL","Rua de Maria Ernestina Martins Pereira, no.37","Caldas daRainha",Leiria,Cooperativa,2000,501072080
"INFANCOOP -Cooperativa de Pais Trabalhadores para Apoio à Infância,CRL",Caldas da Raínha,"Caldas daRainha",Leiria,Cooperativa,2003,500938814
"CERCICAPER - Coop.para a Educação e Reabilitação de CidadãosInadaptados de Castanheira de Pêra, CRL","Freguesia e Concelho de Castanheira dePêra","Castanheirade Pera",Leiria,Cooperativa,2000,500691339
"CERCILEI - Cooperativa de Ensino e Reabilitação de CidadãosInadaptados de Leiria, CRL","Rua das Moitas Altas, 279 - Pinheiros",Leiria,Leiria,Cooperativa,2001,500594147
"SUPERCOOP - Cooperativa  de Solidariedade Social, CRL","Rua Gil Eanes, lote 38 -",Leiria,Leiria,Cooperativa,2008,500799822
"CERCINA - Cooperativa de Ensino e Reabilitação de Crianças Inadaptadasda Nazaré, CRL",Caminho Real - Alto Romão - Apt.157,Nazaré,Leiria,Cooperativa,2001,501146733
"ACOMPANHA - Cooperativa de Solidariedade Social,",Rua Adelino Amaro da Costa,Peniche,Leiria,Cooperativa,2000,504658611
"CERCIPENICHE - Cooperativa de Educação e Reabilitação de CidadãosInadaptados, CRL","Rua Dr. João Matos Bilhau, 26",Peniche,Leiria,Cooperativa,2000,500734623
"CERCIPOM - Cooperativa de Ensino e Reabilitação de CidadãosInadaptados de Pombal, CRL",Estrada dos Caseirinhos,Pombal,Leiria,Cooperativa,2000,500925895
"DEOLAR - Cooperativa de Acção Social, CRL","Rua de Pombal, no 1 - Lagares",Pombal,Leiria,Cooperativa,2009,507778740
"CERCI Flor da Vida - Cooperativa para a Educação e Reabilitação deCrianças Inadaptadas, CRL",Quinta das Rosas - Azambuja,Azambuja,Lisboa,Cooperativa,2003,501066152
"CERCICA - Cooperativa para a Educação e Reabilitação de CidadãosInadaptados de Cascais, CRL",Rua Principal 320,Cascais,Lisboa,Cooperativa,2000,500594120
"HORIZONTE - Cooperativa de Solidariedade Social e Ensino, CRL","Rua Gaspar Corte Real,n.o43  UrbanizaçãoChesol",Cascais,Lisboa,Cooperativa,2003,503340189
"TORREGUIA - Cooperativa de Solidariedade Social, CRL","Rua Maria Auxiliadora, n.o 221 - Lisboa",Cascais,Lisboa,Cooperativa,2004,504855654
O Nosso Sonho - Cooperativa de Ensino e Solidariedade Social CRL,"Vivenda Caniço, no 25 - Praça FernandoLopes Graça",Cascais,Lisboa,Cooperativa,2007,501799044
"SEACOOP - Social Entrepreneurs Agency, CRL","Rua Piaget, n.o 47 - Loja 150 - R/C Esq. -Adroana",Cascais,Lisboa,Cooperativa,2012,508230217
"CERCI - Cooperativa de Educação e Reabilitação de CidadãosInadaptados, CRL","Rua Tomás Alcaide, Lote 62 - A",Lisboa,Lisboa,Cooperativa,2000,500331049
"Cooperativa de Solidariedade Social ""Os Amigos de Sempre"", CRL","Rua da Vitória, 38 - 3o. A",Lisboa,Lisboa,Cooperativa,2000,504665065
"NHC (Social) Cooperativa de Solidariedade, CRL","Estrada da Circunvalação, Lote 16 - Loja",Lisboa,Lisboa,Cooperativa,2000,504391178
"INOVAR - Cooperativa de Criação de Emprego, CRL","Rua Rosa Damasceno, no. 15 - c/v. Dta",Lisboa,Lisboa,Cooperativa,2000,504820265
"LABOR - Cooperativa de Solidariedade Social, CRL","Rua Aura Abranches,n.o 8, 5.o Dt.o",Lisboa,Lisboa,Cooperativa,2001,502228083
"OS FRANCISQUINHOS - Cooperativa de Serviços de Reabilitação eFormação, CRL","Rua José Calheiros, 13",Lisboa,Lisboa,Cooperativa,2001,505085640
"CRINABEL - Cooperativa de Ensino Especial e Solidariedade Social, CRL","Ava. Álvares Cabral, no. 19",Lisboa,Lisboa,Cooperativa,2002,500338884
"MOVIJOVEM - Mobilidade Juvenil - Cooperativa de Interesse Público deResponsabilidade Limitada","Rua Lúcio de Azevedo, EmpreendimentoPáteo Central",Lisboa,Lisboa,Cooperativa,2003,502530863
"HORAS DE SONHO, Apoio à Criança e à Família, CRL","Rua Aura Abranches, no. 5 - 1o. C",Lisboa,Lisboa,Cooperativa,2003,505987236
"FENACERCI - Federação Nacional de Cooperativas de SolidariedadeSocial, FCRL",Lisboa,Lisboa,Lisboa,Cooperativa,2001,501562966
"ICCO - Infantário Cooperativa de Campo de Ourique, CRL","Rua Domingos Sequeira, no. 12",Lisboa,Lisboa,Cooperativa,2004,500646759
"MARVI (SOCIAL) - Cooperativa de  Solidariedade Social,  CRL","Av. Paulo VI,  Lote 6 lojas E e F",Lisboa,Lisboa,Cooperativa,2009,508468655
"Novos Seniores - Cooperativa de Solidariedade Social, CRL","Rua 3, no. 2 - Bairro da Encarnação -",Lisboa,Lisboa,Cooperativa,2012,509593410
"CNAD-Cooperativa Nacional de Apoio a Deficientes, CRL","Praça Dr. Fernando Amado, Lote 566 - E",Lisboa,Lisboa,Cooperativa,2012,501329447
"MILACESSOS - Cooperativa de Serviços e Solidariedade Social, CRL",Rua D. Francisco D'Eça n.o 17,Lisboa,Lisboa,Cooperativa,2014,510703658
"Entre Idades - Cooperativa de Solidariedade Social de Apoio e Proteção aoIdoso, CRL","Avenida General Roçadas, 39 - 5.o Esq.",Lisboa,Lisboa,Cooperativa,2017,513909249
"CREACIL -Coop.de Reabilitação, Educação e Animação p/ a ComunidadeIntegrada do Conc. de Loures, CRL","Rua da Fonte, n.o 11 - ABC - Cave",Loures,Lisboa,Cooperativa,2000,502708697
"SORRIR À VIDA - Cooperativa de Serviços de Apoio Domiciliário, CRL","Rua Bento de Jesus Caraça, no. 66 - 1o. Dto.",Loures,Lisboa,Cooperativa,2000,504619187
"START.SOCIAL - Cooperativa Sócio Educativa para DesenvolvimentoComunitário, CRL","Rua Carolina Michaelís de Vasconcelos,",Loures,Lisboa,Cooperativa,2002,505391198
"Envolver - Serviços de Apoio Social à Comunidade, CRL","Rua Cidade Lisboa ARMJ, Bairro de Angola",Loures,Lisboa,Cooperativa,2006,506960714
"CERCIOEIRAS - Cooperativa de Educação e Reabilitação de Cidadãoscom Incapacidade","Rua 7 de Junho, n.o 57",Oeiras,Lisboa,Cooperativa,1999,500661952
"C.E.C.D. - Mira Sintra - Centro de Educação para o Cidadão Deficiente,CRL","Rua Capitães de Abril, no. 15",Sintra,Lisboa,Cooperativa,1998,500797080
"POLISERCOOP - Cooperativa de Solidariedade Social deResponsabilidade Limitada","Travessa Padre Patuleia, 21 - Belas",Sintra,Lisboa,Cooperativa,1998,504005227
"CERCITOP - Coop. de Empreendedorismo para o DesenvolvimentoEconómico e Social de Todo o País, CRL","Rua Vale de São Martinho, n.o 1",Sintra,Lisboa,Cooperativa,1999,504187368
"A ROMÃ - Cooperativa de Solidariedade Social, CRL",Estrada do Telhal,Sintra,Lisboa,Cooperativa,2000,504742574
