Casa do Povo de Nogueira do Cravo,"Rua Dr. Tinoco, n.o 19","Oliveira doHospital",Coimbra,Casa do Povo,2000,501064567
Casa do Povo de Penacova,Penacova,Penacova,Coimbra,Casa do Povo,2007,500998566
"Casa do Povo de Tábua - Assoc. Recreativa Cultural e de FomentoSocial","Vila, Freguesia e Conc. de Tábua",Tábua,Coimbra,Casa do Povo,2001,500907420
Casa do Povo de Meda de Mouros,Largo José Borges de Carvalho,Tábua,Coimbra,Casa do Povo,1999,500918996
Casa do Povo de Santiago Maior,"Aldeia de Pias, Freg. de Santiago Maior,Alandroal",Alandroal,Évora,Casa do Povo,2004,501158545
Casa do Povo de Canaviais,Rua das Cinco Cepas n.o 20,Évora,Évora,Casa do Povo,2001,505064456
Casa do Povo de Freixo,Freixo,Redondo,Évora,Casa do Povo,2001,500922241
Casa do Povo de Vendas Novas,"Rua de Estêvão de Almeida, 4, Vendas Novas",Vendas Novas,Évora,Casa do Povo,2003,500919054
Casa do Povo de Estoi,"Rua de Faro, N.o 22",Faro,Faro,Casa do Povo,2010,500978239
Casa do Povo do Ameixial,"Freguesia do Ameixial, concelho de Loulé",Loulé,Faro,Casa do Povo,2000,500954810
Casa do Povo do Concelho  de Olhão,"R.dos Percursores daRestauração,freg.Moncarapacho",Olhão,Faro,Casa do Povo,2010,500960216
Casa do Povo de Santo Estevão,"R. do Pinheiro Santo Estevão, Tavira - Faro",Tavira,Faro,Casa do Povo,2002,500910960
Casa do Povo de Luz de Tavira,"Estrada Nacional, 125 - Luz de Tavira - Faro",Tavira,Faro,Casa do Povo,2004,500959102
Casa do Povo A-Dos-Francos,"Rua Joaquim Miguel Nobre Ferreira, no. 8","Caldas daRainha",Leiria,Casa do Povo,2004,501090134
Casa do Povo de Arrabal,"Rua de Santa Margarida, 37 - Arrabal",Leiria,Leiria,Casa do Povo,2003,500962120
Casa do Povo do Concelho de Óbidos,Óbidos,Óbidos,Leiria,Casa do Povo,2005,500953180
Casa do Povo de Albergaria dos Doze,"Rua da Igreja, s/n",Pombal,Leiria,Casa do Povo,2006,501132791
Casa do Povo de Alqueidão da Serra,"Alqueidão da Serra, Porto Mós - Leiria",Porto de Mós,Leiria,Casa do Povo,2003,501358463
Casa do Povo de Calvaria de Cima,"Rua das Almoinhas, n.o 13-  Calvaria de Cima",Porto de Mós,Leiria,Casa do Povo,2005,501119922
Casa do Povo de Manique do Intendente,"Manique do Intendente, Conc. de Azambuja",Azambuja,Lisboa,Casa do Povo,2002,500920966
Casa do Povo de Loures,"Rua Arruda Furtado, no. 12",Loures,Lisboa,Casa do Povo,2006,500935491
Casa do Povo do Gradil,"Rua das Forças Armadas,n.o 20,Gradil-Mafra-Lisboa",Mafra,Lisboa,Casa do Povo,2002,500927367
Casa do Povo de Vialonga,"Rua Professor Egas Moniz, n.o 94 - Vialonga,","Vila Franca deXira",Lisboa,Casa do Povo,2003,500939861
Casa do Povo de Campo Maior,Campo Maior - Portalegre,Campo Maior,Portalegre,Casa do Povo,2001,500922535
Casa do Povo de Castelo de Vide,"Quinta de Santo António, Freg. São JoãoBaptista,","Castelo deVide",Portalegre,Casa do Povo,2005,500921660
Casa do Povo de Santo António das Areas,"Santo António das Areias, Marvão - Portalegre",Marvão,Portalegre,Casa do Povo,2003,500999015
Casa do Povo de Alagoa,"Rua Prof. Manuel Cândido, Alagoa - Portalegre",Portalegre,Portalegre,Casa do Povo,2004,500969264
Casa do Povo de Telões,Ponte de Pego,Amarante,Porto,Casa do Povo,2001,501063838
Casa do Povo de Tabuado,Tabuado,"Marco deCanaveses",Porto,Casa do Povo,2009,500952442
Casa do Povo de Bitarães,Chãos - Bitarães - Paredes - Porto,Paredes,Porto,Casa do Povo,2001,501067078
Casa do Povo de Peroselo,"Lugar do Calvário, freguesia de Peroselo -Penafiel",Penafiel,Porto,Casa do Povo,2001,500954895
Casa do Povo de Ermesinde,Ermesinde conc. Valongo - Porto,Valongo,Porto,Casa do Povo,2001,501240470
casa do Povo de Retorta,"Retorta, Vila do Conde",Vila do Conde,Porto,Casa do Povo,2002,500951896
Casa do Pova da Madalena,"R. D. Amália de Lima no.126, freg. daMadalena","Vila Nova deGaia",Porto,Casa do Povo,2001,500954798
Casa do Povo de Pombalinho,Rua do Barão de Almeirim no 14-16,Almeirim,Santarém,Casa do Povo,2008,501154701
